item_id,activity_id,voice_provider,voice_style,audio_text,ssml_path,target_mp3_path,caption_text
LEA-EY-ACT-0001-ITEM-01,LEA-EY-ACT-0001,TTS provider or recorded British English voice,warm early-years British English; clear pace; no background music,Drag the cards to build the correct answer. Put the steps in order for: listen/respond to simple directions.,content/audio/ssml/LEA-EY-ACT-0001-ITEM-01.ssml,content/audio/mp3/LEA-EY-ACT-0001-ITEM-01.mp3,Put the steps in order for: listen/respond to simple directions.
LEA-EY-ACT-0001-ITEM-02,LEA-EY-ACT-0001,TTS provider or recorded British English voice,warm early-years British English; clear pace; no background music,Drag the cards to build the correct answer. Put the steps in order for: listen/respond to simple directions.,content/audio/ssml/LEA-EY-ACT-0001-ITEM-02.ssml,content/audio/mp3/LEA-EY-ACT-0001-ITEM-02.mp3,Put the steps in order for: listen/respond to simple directions.
LEA-EY-ACT-0001-ITEM-03,LEA-EY-ACT-0001,TTS provider or recorded British English voice,warm early-years British English; clear pace; no background music,Drag the cards to build the correct answer. Put the steps in order for: listen/respond to simple directions.,content/audio/ssml/LEA-EY-ACT-0001-ITEM-03.ssml,content/audio/mp3/LEA-EY-ACT-0001-ITEM-03.mp3,Put the steps in order for: listen/respond to simple directions.
LEA-EY-ACT-0001-ITEM-04,LEA-EY-ACT-0001,TTS provider or recorded British English voice,warm early-years British English; clear pace; no background music,Drag the cards to build the correct answer. Put the steps in order for: listen/respond to simple directions.,content/audio/ssml/LEA-EY-ACT-0001-ITEM-04.ssml,content/audio/mp3/LEA-EY-ACT-0001-ITEM-04.mp3,Put the steps in order for: listen/respond to simple directions.
LEA-EY-ACT-0001-ITEM-05,LEA-EY-ACT-0001,TTS provider or recorded British English voice,warm early-years British English; clear pace; no background music,Drag the cards to build the correct answer. Put the steps in order for: listen/respond to simple directions.,content/audio/ssml/LEA-EY-ACT-0001-ITEM-05.ssml,content/audio/mp3/LEA-EY-ACT-0001-ITEM-05.mp3,Put the steps in order for: listen/respond to simple directions.
LEA-EY-ACT-0001-ITEM-06,LEA-EY-ACT-0001,TTS provider or recorded British English voice,warm early-years British English; clear pace; no background music,Drag the cards to build the correct answer. Put the steps in order for: listen/respond to simple directions.,content/audio/ssml/LEA-EY-ACT-0001-ITEM-06.ssml,content/audio/mp3/LEA-EY-ACT-0001-ITEM-06.mp3,Put the steps in order for: listen/respond to simple directions.
LEA-EY-ACT-0001-ITEM-07,LEA-EY-ACT-0001,TTS provider or recorded British English voice,warm early-years British English; clear pace; no background music,Drag the cards to build the correct answer. Put the steps in order for: listen/respond to simple directions.,content/audio/ssml/LEA-EY-ACT-0001-ITEM-07.ssml,content/audio/mp3/LEA-EY-ACT-0001-ITEM-07.mp3,Put the steps in order for: listen/respond to simple directions.
LEA-EY-ACT-0001-ITEM-08,LEA-EY-ACT-0001,TTS provider or recorded British English voice,warm early-years British English; clear pace; no background music,Drag the cards to build the correct answer. Put the steps in order for: listen/respond to simple directions.,content/audio/ssml/LEA-EY-ACT-0001-ITEM-08.ssml,content/audio/mp3/LEA-EY-ACT-0001-ITEM-08.mp3,Put the steps in order for: listen/respond to simple directions.
LEA-EY-ACT-0002-ITEM-01,LEA-EY-ACT-0002,TTS provider or recorded British English voice,warm early-years British English; clear pace; no background music,Listen to the sounds and blend them into a word. Blend the sounds in mum: m-u-m. What word do you hear?,content/audio/ssml/LEA-EY-ACT-0002-ITEM-01.ssml,content/audio/mp3/LEA-EY-ACT-0002-ITEM-01.mp3,Blend the sounds in mum: m-u-m. What word do you hear?
LEA-EY-ACT-0002-ITEM-02,LEA-EY-ACT-0002,TTS provider or recorded British English voice,warm early-years British English; clear pace; no background music,Listen to the sounds and blend them into a word. Blend the sounds in dad: d-a-d. What word do you hear?,content/audio/ssml/LEA-EY-ACT-0002-ITEM-02.ssml,content/audio/mp3/LEA-EY-ACT-0002-ITEM-02.mp3,Blend the sounds in dad: d-a-d. What word do you hear?
