grade,week,unit,skill_focus,core_routine,downloadable,assessment
Pre-K,1,Unit 1: Listening routines,"Week 1 - respond to name, follow one-step directions","clap syllables, hear environmental sounds",picture talk and rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,2,Unit 1: Listening routines,"Week 2 - respond to name, follow one-step directions","clap syllables, hear environmental sounds",picture talk and rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,3,Unit 1: Listening routines,"Week 3 - respond to name, follow one-step directions","clap syllables, hear environmental sounds",picture talk and rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,4,Unit 1: Listening routines,"Week 4 - respond to name, follow one-step directions","clap syllables, hear environmental sounds",picture talk and rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,5,Unit 1: Listening routines,"Week 5 - respond to name, follow one-step directions","clap syllables, hear environmental sounds",picture talk and rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,6,Unit 1: Listening routines,"Week 6 - respond to name, follow one-step directions","clap syllables, hear environmental sounds",picture talk and rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,7,Unit 1: Listening routines,"Week 7 - respond to name, follow one-step directions","clap syllables, hear environmental sounds",picture talk and rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,8,Unit 1: Listening routines,"Week 8 - respond to name, follow one-step directions","clap syllables, hear environmental sounds",picture talk and rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,9,Unit 1: Listening routines,"Week 9 - respond to name, follow one-step directions","clap syllables, hear environmental sounds",picture talk and rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,10,Unit 2: Rhyme and rhythm,Week 1 - recognise and produce rhymes,"song, chant, alliteration",draw favourite rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,11,Unit 2: Rhyme and rhythm,Week 2 - recognise and produce rhymes,"song, chant, alliteration",draw favourite rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,12,Unit 2: Rhyme and rhythm,Week 3 - recognise and produce rhymes,"song, chant, alliteration",draw favourite rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,13,Unit 2: Rhyme and rhythm,Week 4 - recognise and produce rhymes,"song, chant, alliteration",draw favourite rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,14,Unit 2: Rhyme and rhythm,Week 5 - recognise and produce rhymes,"song, chant, alliteration",draw favourite rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,15,Unit 2: Rhyme and rhythm,Week 6 - recognise and produce rhymes,"song, chant, alliteration",draw favourite rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,16,Unit 2: Rhyme and rhythm,Week 7 - recognise and produce rhymes,"song, chant, alliteration",draw favourite rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,17,Unit 2: Rhyme and rhythm,Week 8 - recognise and produce rhymes,"song, chant, alliteration",draw favourite rhyme,Friday mastery check; assign reteach if below 80%
Pre-K,18,Unit 2: Rhyme and rhythm,Week 9 - recognise and produce rhymes,"song, chant, alliteration",draw favourite rhyme,Friday mastery check; assign reteach if below 80%
