module_audio_id,cefr_level,module_number,module_title,course_title,polly_voice_id,polly_engine,language_code,output_format,text_type,ssml_file,target_s3_key,lms_media_type,qa_status
BEA-A1-M01,A1,1,Personal Information and Classroom English,A1 Starter English,Amy,neural,en-GB,mp3,ssml,ssml/module_intros/A1/bea-a1-m01-personal-information-and-classroom-english-module-intro.ssml,bea/audio/A1/modules/bea-a1-m01-personal-information-and-classroom-english-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-A1-M02,A1,2,"Home, Family and Daily Objects",A1 Starter English,Amy,neural,en-GB,mp3,ssml,ssml/module_intros/A1/bea-a1-m02-home-family-and-daily-objects-module-intro.ssml,bea/audio/A1/modules/bea-a1-m02-home-family-and-daily-objects-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-A1-M03,A1,3,"Food, Shopping and Simple Requests",A1 Starter English,Amy,neural,en-GB,mp3,ssml,ssml/module_intros/A1/bea-a1-m03-food-shopping-and-simple-requests-module-intro.ssml,bea/audio/A1/modules/bea-a1-m03-food-shopping-and-simple-requests-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-A1-M04,A1,4,"Places, Directions and Local Life",A1 Starter English,Amy,neural,en-GB,mp3,ssml,ssml/module_intros/A1/bea-a1-m04-places-directions-and-local-life-module-intro.ssml,bea/audio/A1/modules/bea-a1-m04-places-directions-and-local-life-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-A1-M05,A1,5,Daily Routines and Free Time,A1 Starter English,Amy,neural,en-GB,mp3,ssml,ssml/module_intros/A1/bea-a1-m05-daily-routines-and-free-time-module-intro.ssml,bea/audio/A1/modules/bea-a1-m05-daily-routines-and-free-time-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-A1-M06,A1,6,"A1 Review, Speaking and Everyday Tasks",A1 Starter English,Amy,neural,en-GB,mp3,ssml,ssml/module_intros/A1/bea-a1-m06-a1-review-speaking-and-everyday-tasks-module-intro.ssml,bea/audio/A1/modules/bea-a1-m06-a1-review-speaking-and-everyday-tasks-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-A2-M01,A2,1,Daily Life and Social Communication,A2 Everyday English,Emma,neural,en-GB,mp3,ssml,ssml/module_intros/A2/bea-a2-m01-daily-life-and-social-communication-module-intro.ssml,bea/audio/A2/modules/bea-a2-m01-daily-life-and-social-communication-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-A2-M02,A2,2,Past Experiences and Personal Stories,A2 Everyday English,Emma,neural,en-GB,mp3,ssml,ssml/module_intros/A2/bea-a2-m02-past-experiences-and-personal-stories-module-intro.ssml,bea/audio/A2/modules/bea-a2-m02-past-experiences-and-personal-stories-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-A2-M03,A2,3,"Travel, Services and Problem Solving",A2 Everyday English,Emma,neural,en-GB,mp3,ssml,ssml/module_intros/A2/bea-a2-m03-travel-services-and-problem-solving-module-intro.ssml,bea/audio/A2/modules/bea-a2-m03-travel-services-and-problem-solving-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-A2-M04,A2,4,"Health, Weather and Plans",A2 Everyday English,Emma,neural,en-GB,mp3,ssml,ssml/module_intros/A2/bea-a2-m04-health-weather-and-plans-module-intro.ssml,bea/audio/A2/modules/bea-a2-m04-health-weather-and-plans-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-A2-M05,A2,5,"Work, Study and Everyday Writing",A2 Everyday English,Emma,neural,en-GB,mp3,ssml,ssml/module_intros/A2/bea-a2-m05-work-study-and-everyday-writing-module-intro.ssml,bea/audio/A2/modules/bea-a2-m05-work-study-and-everyday-writing-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-A2-M06,A2,6,"A2 Review, Fluency and Functional Tasks",A2 Everyday English,Emma,neural,en-GB,mp3,ssml,ssml/module_intros/A2/bea-a2-m06-a2-review-fluency-and-functional-tasks-module-intro.ssml,bea/audio/A2/modules/bea-a2-m06-a2-review-fluency-and-functional-tasks-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-B1-M01,B1,1,Independent Communication and Opinions,B1 Independent English,Brian,neural,en-GB,mp3,ssml,ssml/module_intros/B1/bea-b1-m01-independent-communication-and-opinions-module-intro.ssml,bea/audio/B1/modules/bea-b1-m01-independent-communication-and-opinions-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-B1-M02,B1,2,"Work, Study and Digital Life",B1 Independent English,Brian,neural,en-GB,mp3,ssml,ssml/module_intros/B1/bea-b1-m02-work-study-and-digital-life-module-intro.ssml,bea/audio/B1/modules/bea-b1-m02-work-study-and-digital-life-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-B1-M03,B1,3,"Travel, Culture and Narratives",B1 Independent English,Brian,neural,en-GB,mp3,ssml,ssml/module_intros/B1/bea-b1-m03-travel-culture-and-narratives-module-intro.ssml,bea/audio/B1/modules/bea-b1-m03-travel-culture-and-narratives-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-B1-M04,B1,4,"Problems, Advice and Decisions",B1 Independent English,Brian,neural,en-GB,mp3,ssml,ssml/module_intros/B1/bea-b1-m04-problems-advice-and-decisions-module-intro.ssml,bea/audio/B1/modules/bea-b1-m04-problems-advice-and-decisions-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-B1-M05,B1,5,"Media, Environment and Society",B1 Independent English,Brian,neural,en-GB,mp3,ssml,ssml/module_intros/B1/bea-b1-m05-media-environment-and-society-module-intro.ssml,bea/audio/B1/modules/bea-b1-m05-media-environment-and-society-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-B1-M06,B1,6,"B1 Review, Projects and Integrated Skills",B1 Independent English,Brian,neural,en-GB,mp3,ssml,ssml/module_intros/B1/bea-b1-m06-b1-review-projects-and-integrated-skills-module-intro.ssml,bea/audio/B1/modules/bea-b1-m06-b1-review-projects-and-integrated-skills-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-B2-M01,B2,1,Complex Communication and Debate,B2 Confident English,Amy,neural,en-GB,mp3,ssml,ssml/module_intros/B2/bea-b2-m01-complex-communication-and-debate-module-intro.ssml,bea/audio/B2/modules/bea-b2-m01-complex-communication-and-debate-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-B2-M02,B2,2,Professional and Academic Skills,B2 Confident English,Amy,neural,en-GB,mp3,ssml,ssml/module_intros/B2/bea-b2-m02-professional-and-academic-skills-module-intro.ssml,bea/audio/B2/modules/bea-b2-m02-professional-and-academic-skills-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-B2-M03,B2,3,Advanced Reading and Listening,B2 Confident English,Amy,neural,en-GB,mp3,ssml,ssml/module_intros/B2/bea-b2-m03-advanced-reading-and-listening-module-intro.ssml,bea/audio/B2/modules/bea-b2-m03-advanced-reading-and-listening-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-B2-M04,B2,4,Writing Arguments and Reports,B2 Confident English,Amy,neural,en-GB,mp3,ssml,ssml/module_intros/B2/bea-b2-m04-writing-arguments-and-reports-module-intro.ssml,bea/audio/B2/modules/bea-b2-m04-writing-arguments-and-reports-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-B2-M05,B2,5,Global Issues and Critical Thinking,B2 Confident English,Amy,neural,en-GB,mp3,ssml,ssml/module_intros/B2/bea-b2-m05-global-issues-and-critical-thinking-module-intro.ssml,bea/audio/B2/modules/bea-b2-m05-global-issues-and-critical-thinking-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-B2-M06,B2,6,"B2 Review, Presentations and Integrated Assessment",B2 Confident English,Amy,neural,en-GB,mp3,ssml,ssml/module_intros/B2/bea-b2-m06-b2-review-presentations-and-integrated-assessment-module-intro.ssml,bea/audio/B2/modules/bea-b2-m06-b2-review-presentations-and-integrated-assessment-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-C1-M01,C1,1,Advanced Academic and Professional Discourse,C1 Advanced English,Brian,neural,en-GB,mp3,ssml,ssml/module_intros/C1/bea-c1-m01-advanced-academic-and-professional-discourse-module-intro.ssml,bea/audio/C1/modules/bea-c1-m01-advanced-academic-and-professional-discourse-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-C1-M02,C1,2,"Nuance, Register and Persuasion",C1 Advanced English,Brian,neural,en-GB,mp3,ssml,ssml/module_intros/C1/bea-c1-m02-nuance-register-and-persuasion-module-intro.ssml,bea/audio/C1/modules/bea-c1-m02-nuance-register-and-persuasion-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-C1-M03,C1,3,"Research, Synthesis and Critical Evaluation",C1 Advanced English,Brian,neural,en-GB,mp3,ssml,ssml/module_intros/C1/bea-c1-m03-research-synthesis-and-critical-evaluation-module-intro.ssml,bea/audio/C1/modules/bea-c1-m03-research-synthesis-and-critical-evaluation-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-C1-M04,C1,4,High-Level Writing and Speaking,C1 Advanced English,Brian,neural,en-GB,mp3,ssml,ssml/module_intros/C1/bea-c1-m04-high-level-writing-and-speaking-module-intro.ssml,bea/audio/C1/modules/bea-c1-m04-high-level-writing-and-speaking-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-C1-M05,C1,5,"Leadership, Policy and Complex Interaction",C1 Advanced English,Brian,neural,en-GB,mp3,ssml,ssml/module_intros/C1/bea-c1-m05-leadership-policy-and-complex-interaction-module-intro.ssml,bea/audio/C1/modules/bea-c1-m05-leadership-policy-and-complex-interaction-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-C1-M06,C1,6,"C1 Review, Portfolio and Performance Assessment",C1 Advanced English,Brian,neural,en-GB,mp3,ssml,ssml/module_intros/C1/bea-c1-m06-c1-review-portfolio-and-performance-assessment-module-intro.ssml,bea/audio/C1/modules/bea-c1-m06-c1-review-portfolio-and-performance-assessment-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-C2-M01,C2,1,"Mastery of Style, Register and Precision",C2 Mastery English,Emma,neural,en-GB,mp3,ssml,ssml/module_intros/C2/bea-c2-m01-mastery-of-style-register-and-precision-module-intro.ssml,bea/audio/C2/modules/bea-c2-m01-mastery-of-style-register-and-precision-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-C2-M02,C2,2,"Complex Texts, Literature and Culture",C2 Mastery English,Emma,neural,en-GB,mp3,ssml,ssml/module_intros/C2/bea-c2-m02-complex-texts-literature-and-culture-module-intro.ssml,bea/audio/C2/modules/bea-c2-m02-complex-texts-literature-and-culture-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-C2-M03,C2,3,Specialised Academic and Professional English,C2 Mastery English,Emma,neural,en-GB,mp3,ssml,ssml/module_intros/C2/bea-c2-m03-specialised-academic-and-professional-english-module-intro.ssml,bea/audio/C2/modules/bea-c2-m03-specialised-academic-and-professional-english-module-intro.mp3,module_intro,generated_pending_audio_qa
BEA-C2-M04,C2,4,"Rhetoric, Diplomacy and High-Stakes Communication",C2 Mastery English,Emma,neural,en-GB,mp3,ssml,ssml/module_intros/C2/bea-c2-m04-rhetoric-diplomacy-and-high-stakes-communication-module-intro.ssml,bea/audio/C2/modules/bea-c2-m04-rhetoric-diplomacy-and-high-stakes-communication-module-intro.mp3,module_intro,generated_pending_audio_qa
