course,cefr,module_code,module_title,theme_summary,grammar,vocabulary,function,lesson_path,assessment,downloads,adaptive_tags
Starter English,A1,A1-M01,"Identity, goals and learner profile","introductions, routines, aspirations, personal information",be / have got,"personal details, goals, classroom objects, numbers, dates",give personal information,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"A1, be / have got, give personal information, Identity, goals and learner profile"
Starter English,A1,A1-M02,"Family, community and relationships","people, roles, feelings, social routines",present simple,"family, personality, emotions, community places",ask and answer simple questions,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"A1, present simple, ask and answer simple questions, Family, community and relationships"
Starter English,A1,A1-M03,"School, study and work","classroom language, learning habits, jobs, workplace communication",there is / there are,"subjects, study skills, jobs, duties, workplace phrases",describe people and things,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"A1, there is / there are, describe people and things, School, study and work"
Starter English,A1,A1-M04,"Home, city and daily life","places, transport, directions, services, everyday problems",can for ability,"rooms, furniture, transport, maps, services",follow simple classroom instructions,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"A1, can for ability, follow simple classroom instructions, Home, city and daily life"
Starter English,A1,A1-M05,"Food, health and wellbeing","meals, choices, advice, body, wellness, appointments",imperatives,"food groups, symptoms, healthy habits, advice",make simple choices,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"A1, imperatives, make simple choices, Food, health and wellbeing"
Starter English,A1,A1-M06,"Travel, cultures and the wider world","journeys, places, customs, comparisons, global issues",basic prepositions,"countries, landscapes, travel problems, cultural routines",read short notices,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"A1, basic prepositions, read short notices, Travel, cultures and the wider world"
Starter English,A1,A1-M07,"Media, technology and digital citizenship","online messages, news, safety, opinions, presentation",countable/uncountable nouns,"devices, apps, online behaviour, news, opinions",write short messages,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"A1, countable/uncountable nouns, write short messages, Media, technology and digital citizenship"
Starter English,A1,A1-M08,"Stories, literature and creative expression","narratives, characters, plot, poetry, performance",like + noun/verb-ing,"genres, characters, settings, plot, figurative language",listen for key words,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"A1, like + noun/verb-ing, listen for key words, Stories, literature and creative expression"
Starter English,A1,A1-M09,"Problems, solutions and critical thinking","cause/effect, evidence, debate, solutions",past simple of be,"environment, social issues, cause/effect, solution language",speak in rehearsed exchanges,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"A1, past simple of be, speak in rehearsed exchanges, Problems, solutions and critical thinking"
Starter English,A1,A1-M10,Portfolio project and progress review,"integrated skills, reflection, revision, certification task",review,"review, reflection, portfolio language, self-assessment terms",show progress,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"A1, review, show progress, Portfolio project and progress review"
Everyday English,A2,A2-M01,"Identity, goals and learner profile","introductions, routines, aspirations, personal information",present continuous vs present simple,"personal details, goals, classroom objects, numbers, dates",describe routines and past events,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"A2, present continuous vs present simple, describe routines and past events, Identity, goals and learner profile"
Everyday English,A2,A2-M02,"Family, community and relationships","people, roles, feelings, social routines",past simple regular/irregular,"family, personality, emotions, community places",make plans,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"A2, past simple regular/irregular, make plans, Family, community and relationships"
Everyday English,A2,A2-M03,"School, study and work","classroom language, learning habits, jobs, workplace communication",future with going to,"subjects, study skills, jobs, duties, workplace phrases",ask for help,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"A2, future with going to, ask for help, School, study and work"
Everyday English,A2,A2-M04,"Home, city and daily life","places, transport, directions, services, everyday problems",comparatives/superlatives,"rooms, furniture, transport, maps, services",give advice,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"A2, comparatives/superlatives, give advice, Home, city and daily life"
Everyday English,A2,A2-M05,"Food, health and wellbeing","meals, choices, advice, body, wellness, appointments",modals should/must/have to,"food groups, symptoms, healthy habits, advice",compare options,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"A2, modals should/must/have to, compare options, Food, health and wellbeing"
Everyday English,A2,A2-M06,"Travel, cultures and the wider world","journeys, places, customs, comparisons, global issues",quantifiers,"countries, landscapes, travel problems, cultural routines",explain simple reasons,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"A2, quantifiers, explain simple reasons, Travel, cultures and the wider world"
Everyday English,A2,A2-M07,"Media, technology and digital citizenship","online messages, news, safety, opinions, presentation",object pronouns,"devices, apps, online behaviour, news, opinions",write emails and forms,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"A2, object pronouns, write emails and forms, Media, technology and digital citizenship"
Everyday English,A2,A2-M08,"Stories, literature and creative expression","narratives, characters, plot, poetry, performance",adverbs of frequency/manner,"genres, characters, settings, plot, figurative language",understand short talks,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"A2, adverbs of frequency/manner, understand short talks, Stories, literature and creative expression"
Everyday English,A2,A2-M09,"Problems, solutions and critical thinking","cause/effect, evidence, debate, solutions",because/so/but/although,"environment, social issues, cause/effect, solution language",take part in role plays,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"A2, because/so/but/although, take part in role plays, Problems, solutions and critical thinking"
Everyday English,A2,A2-M10,Portfolio project and progress review,"integrated skills, reflection, revision, certification task",review,"review, reflection, portfolio language, self-assessment terms",complete a practical project,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"A2, review, complete a practical project, Portfolio project and progress review"
Independent English,B1,B1-M01,"Identity, goals and learner profile","introductions, routines, aspirations, personal information",present perfect for experience,"personal details, goals, classroom objects, numbers, dates",express opinions,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"B1, present perfect for experience, express opinions, Identity, goals and learner profile"
Independent English,B1,B1-M02,"Family, community and relationships","people, roles, feelings, social routines",past continuous and narrative tenses,"family, personality, emotions, community places",tell stories,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"B1, past continuous and narrative tenses, tell stories, Family, community and relationships"
Independent English,B1,B1-M03,"School, study and work","classroom language, learning habits, jobs, workplace communication",will/going to/present continuous for future,"subjects, study skills, jobs, duties, workplace phrases",summarise information,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"B1, will/going to/present continuous for future, summarise information, School, study and work"
Independent English,B1,B1-M04,"Home, city and daily life","places, transport, directions, services, everyday problems",first and second conditional,"rooms, furniture, transport, maps, services",give reasons and examples,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"B1, first and second conditional, give reasons and examples, Home, city and daily life"
Independent English,B1,B1-M05,"Food, health and wellbeing","meals, choices, advice, body, wellness, appointments",relative clauses,"food groups, symptoms, healthy habits, advice",handle travel and service situations,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"B1, relative clauses, handle travel and service situations, Food, health and wellbeing"
Independent English,B1,B1-M06,"Travel, cultures and the wider world","journeys, places, customs, comparisons, global issues",passive voice present/past,"countries, landscapes, travel problems, cultural routines",write connected paragraphs,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"B1, passive voice present/past, write connected paragraphs, Travel, cultures and the wider world"
Independent English,B1,B1-M07,"Media, technology and digital citizenship","online messages, news, safety, opinions, presentation",reported speech basics,"devices, apps, online behaviour, news, opinions",take part in discussions,"Lesson 1 input, Lesson 2 controlled practice, Lesson 3 reading/listening, Lesson 4 speaking/writing, Lesson 5 project and review",auto-marked quiz + teacher-scored speaking/writing task,teacher plan; learner worksheet; vocab bank; speaking cards; writing frame; quiz; answer key; home practice; portfolio page,"B1, reported speech basics, take part in discussions, Media, technology and digital citizenship"
